probext,labelext,probext,labelext,probext,labelext,probext,labelext,probext,labelext,probext,labelext,probext,labelext
0.656,2,0.6,2,0.618,2,0.572,2,0.665,2,0.5725,2,0.61,2
0.592,2,0.443333333,2,0.518,2,0.496,2,0.59,2,0.5425,2,0.5375,2
0.71,2,0.57,2,0.714,2,0.61,2,0.77,2,0.665,2,0.6275,2
0.766,2,0.653333333,2,0.676,2,0.698,2,0.755,2,0.73,2,0.7075,2
0.666,2,0.686666667,2,0.812,2,0.692,2,0.76,2,0.82,2,0.7675,2
0.61,2,0.58,2,0.538,2,0.624,2,0.565,2,0.6125,2,0.5675,2
0.472,2,0.453333333,2,0.39,2,0.542,2,0.43,2,0.44,2,0.4875,2
0.662,2,0.72,2,0.518,2,0.7,2,0.635,2,0.6525,2,0.63,2
0.752,2,0.666666667,2,0.35,2,0.666,2,0.555,2,0.44,2,0.5075,2
0.884,2,0.963333333,2,0.772,2,0.918,2,0.84,2,0.89,2,0.8675,2
0.884,2,0.896666667,2,0.686,2,0.772,2,0.79,2,0.745,2,0.7425,2
0.852,2,0.923333333,2,0.434,2,0.828,2,0.545,2,0.7,2,0.675,2
0.988,2,0.976666667,2,0.65,2,0.952,2,0.86,2,0.88,2,0.8775,2
0.946,2,0.996666667,2,0.828,2,0.962,2,0.87,2,0.9025,2,0.9125,2
0.482,2,0.29,2,0.398,2,0.36,2,0.39,2,0.2875,2,0.3675,2
0.99,2,0.963333333,2,0.788,2,0.942,2,0.905,2,0.93,2,0.935,2
0.844,2,0.796666667,2,0.618,2,0.712,2,0.685,2,0.7225,2,0.705,2
0.928,2,0.796666667,2,0.658,2,0.814,2,0.75,2,0.77,2,0.7775,2
0.7,2,0.58,2,0.598,2,0.63,2,0.665,2,0.63,2,0.6625,2
0.944,2,0.946666667,2,0.72,2,0.88,2,0.71,2,0.7875,2,0.775,2
0.98,2,0.91,2,0.888,2,0.898,2,0.88,2,0.8475,2,0.885,2
0.966,2,0.963333333,2,0.918,2,0.922,2,0.935,2,0.93,2,0.9525,2
0.99,2,0.983333333,2,0.898,2,0.984,2,0.965,2,0.9525,2,0.9675,2
0.982,2,0.99,2,0.712,2,0.97,2,0.77,2,0.835,2,0.9075,2
0.986,2,0.96,2,0.918,2,0.954,2,0.945,2,0.9,2,0.925,2
0.99,2,0.966666667,2,0.854,2,0.938,2,0.91,2,0.8725,2,0.9175,2
0.996,2,0.996666667,2,0.872,2,0.98,2,0.97,2,0.9475,2,0.9725,2
0.964,2,0.936666667,2,0.784,2,0.926,2,0.87,2,0.815,2,0.87,2
0.954,2,0.94,2,0.802,2,0.89,2,0.865,2,0.875,2,0.8725,2
0.92,2,0.82,2,0.714,2,0.87,2,0.775,2,0.75,2,0.815,2
0.996,2,0.99,2,0.77,2,0.976,2,0.89,2,0.9275,2,0.905,2
0.792,2,0.486666667,2,0.73,2,0.686,2,0.765,2,0.6825,2,0.7175,2
0.946,2,0.976666667,2,0.626,2,0.908,2,0.825,2,0.83,2,0.8675,2
0.854,2,0.713333333,2,0.438,2,0.628,2,0.52,2,0.4725,2,0.5375,2
0.894,2,0.963333333,2,0.64,2,0.848,2,0.71,2,0.8,2,0.7275,2
0.664,2,0.723333333,2,0.538,2,0.61,2,0.545,2,0.5075,2,0.5325,2
0.902,2,0.97,2,0.658,2,0.898,2,0.72,2,0.83,2,0.8325,2
0.874,2,0.933333333,2,0.72,2,0.79,2,0.76,2,0.7625,2,0.78,2
0.96,2,0.96,2,0.674,2,0.94,2,0.785,2,0.8525,2,0.85,2
0.96,2,0.956666667,2,0.784,2,0.936,2,0.81,2,0.9,2,0.8875,2
0.874,2,0.833333333,2,0.446,2,0.778,2,0.525,2,0.5375,2,0.57,2
