probcv,labelcv,probcv,labelcv,probcv,labelcv,probcv,labelcv,probcv,labelcv,probcv,labelcv,probcv,labelcv
0.77,2,0.235,1,0.52,1,0.785,2,0.96,2,0.58,2,0.595,2
0.94,2,0.06,1,0.37,1,0.835,2,0.365,1,0.715,2,0.465,2
0.97,2,0.5,1,0.28,2,0.3275,2,0.225,1,0.115,1,0.425,1
0.47,1,0.26,1,0.85,2,0.845,2,0.89,2,0.91,2,0.83,2
0.48,1,0.41,2,0.87,2,0.3325,2,1,2,0.23,1,0.385,2
0.67,2,0.86,2,0.27,2,0.9675,2,0.55,2,0.87,2,0.32,1
0.35,2,0.93,2,0.83,2,0.3125,2,0.115,1,0.41,1,0.25,1
0.04,1,0.39,2,0.84,2,0.2725,1,0.395,1,0.395,2,0.74,2
1,2,0.895,2,0.89,2,0.975,2,0.485,2,0.89,2,0.57,2
0.1,1,0.865,2,0.49,2,0.4375,1,0.315,2,0.36,1,0.23,2
0.77,2,0.26,1,0.67,2,0.935,2,0.59,2,0.365,1,0.59,2
0.79,1,0.35,1,0.91,2,0.5475,1,0.69,2,0.71,2,0.785,2
0.15,2,0.52,2,0.26,1,0.395,1,0.19,1,0.37,2,0.335,1
0.7,2,0.545,2,0.98,2,0.5375,1,0.81,2,0.35,1,0.34,2
0.36,1,0.93,2,0.34,2,0.4225,1,0.76,2,0.335,1,0.315,1
0.18,2,0.335,1,0.91,2,0.9625,2,0.28,1,0.495,1,0.955,2
0.71,1,0.305,1,0.36,1,0.1425,1,0.33,1,0.845,2,0.1,1
0.5,2,0.205,1,0.31,2,0.9175,2,0.35,2,0.245,1,0.44,2
0.25,2,0.31,2,0.19,2,0.4875,2,0.355,1,0.465,2,0.415,1
0.22,1,0.12,2,0.27,2,0.72,2,0.585,1,0.55,2,0.445,2
0.98,2,0.825,2,0.21,1,0.245,1,0.24,1,0.37,2,0.245,1
0.98,2,0.76,2,0.3,1,0.1975,1,0.545,1,0.22,1,0.53,2
0.44,2,0.22,1,0.83,2,0.3425,2,0.26,1,0.615,2,0.275,1
0.95,2,0.845,2,0.34,1,0.175,1,0.24,1,0.7,2,0.905,2
0.07,1,0.375,2,0.55,1,0.1725,1,0.345,1,0.485,2,0.915,2
0.74,2,0.675,1,0.89,2,0.415,1,0.645,2,0.475,2,0.105,1
0.1,1,0.945,2,0.28,2,0.36,1,0.185,1,0.79,2,0.97,2
0.69,2,0.205,1,0.82,2,0.295,1,0.94,2,0.095,1,0.315,1
0.17,1,0.45,1,0.84,2,0.885,2,0.705,2,0.195,1,0.67,2
0.39,1,0.115,1,0.24,1,0.225,1,0.385,2,0.645,2,0.82,2
0.6,1,0.535,1,0.89,2,0.405,2,0.98,2,0.255,1,0.8,2
0.29,1,0.925,2,0.46,1,0.3825,1,0.585,2,0.88,2,0.525,1
0.94,2,0.31,1,0.48,2,0.5275,2,0.745,2,0.275,1,0.63,2
0.13,1,0.28,1,0.41,1,0.37,2,0.385,2,0.33,1,0.26,1
0.42,1,0.235,1,0.33,1,0.8925,2,0.555,2,0.115,1,0.68,2
0.95,2,0.38,1,0.95,2,0.5275,2,0.25,2,0.44,2,0.35,2
0.63,1,0.115,1,0.34,1,0.185,1,0.33,1,0.425,1,0.545,1
0.29,1,0.145,1,0.34,1,0.9375,2,0.66,2,0.135,1,0.825,2
0.49,1,0.74,2,0.83,2,0.3875,1,0.145,1,0.43,1,0.635,2
0.91,2,0.575,1,0.45,1,0.5125,1,0.145,1,0.605,2,0.385,1
0.3,1,0.77,2,0.29,1,0.8125,2,0.66,2,0.45,2,0.45,2
0.36,1,0.935,2,0.53,2,0.6525,2,0.18,1,0.875,2,0.235,1
0.17,1,0.505,2,0.66,2,0.7625,2,0.155,1,0.31,2,0.165,1
0.44,1,0.93,2,0.15,1,0.8925,2,0.545,1,0.86,2,0.24,1
0.34,2,0.65,1,0.53,2,0.225,1,0.6,1,0.465,1,0.225,1
0.05,1,0.26,1,0.86,2,0.9525,2,0.86,2,0.435,2,0.32,1
0.13,1,0.29,1,0.4,2,0.2925,1,0.57,2,0.945,2,0.295,1
0.15,1,0.57,1,0.87,2,0.46,1,0.755,2,0.125,1,0.85,2
0.32,1,0.97,2,0.98,2,0.22,1,0.275,1,0.915,2,0.595,2
0.12,1,0.12,1,0.96,2,0.48,1,0.295,1,0.38,1,0.315,1
0.36,1,0.965,2,0.97,2,0.2425,1,0.64,2,0.445,1,0.19,1
0.14,1,0.17,1,0.32,1,0.77,2,0.14,1,0.84,2,0.095,1
0.99,2,0.885,2,0.33,1,0.4125,2,0.7,1,0.255,1,0.9,2
0.66,2,0.63,2,0.28,1,0.22,1,0.495,1,0.155,1,0.785,2
0.13,1,0.63,2,0.45,2,0.96,2,0.365,1,0.425,1,0.51,1
0.81,2,0.86,2,0.51,2,0.6425,2,0.515,2,0.31,1,0.88,2
0.93,2,0.495,2,0.52,1,0.49,1,0.21,1,0.26,1,0.48,1
0.27,1,0.4,2,0.61,1,0.32,1,0.625,1,0.795,2,0.285,1
0.14,1,0.22,1,0.35,1,0.43,1,0.24,1,0.915,2,0.07,1
0.93,2,0.13,1,0.15,1,0.2575,1,0.165,1,0.505,1,0.445,2
0.81,2,0.84,2,0.57,2,0.4775,2,0.835,2,0.385,1,0.635,2
0.93,2,0.56,2,0.08,1,0.545,1,0.175,1,0.5,2,0.17,1
0.3,1,0.25,2,0.65,1,0.29,1,0.15,1,0.585,2,0.21,1
0.97,2,0.19,1,0.57,2,0.14,1,0.635,2,0.315,1,0.74,2
1,2,0.785,2,0.59,2,0.245,1,0.295,1,0.15,1,0.37,2
0.29,1,0.24,1,0.94,2,0.4,1,0.66,2,0.86,2,0.545,1
