probcv,labelcv,probcv,labelcv,probcv,labelcv,probcv,labelcv,probcv,labelcv,probcv,labelcv,probcv,labelcv
0.2,1,0.85,2,0.475,2,0.38,1,0.585,1,0.4875,2,0.14,1
0.6425,2,0.06,1,0.05,1,0.263333333,1,0.08,1,0.7925,2,0.18,1
0.4025,2,0.06,1,0.035,1,0.76,1,0.02,1,0.1425,1,0.31,2
0.1725,1,0.066,1,0.025,1,0.81,2,0.58,2,0.1875,1,0.07,1
0.7375,2,0.07,1,0.53,2,0.09,1,0.155,1,0.185,1,0.62,2
0.7,2,0.274,1,0.565,2,0.296666667,1,0.56,2,0.4075,2,0.02,1
0.6975,2,0.054,1,0.825,2,0.553333333,2,0.315,1,0.37,1,0.07,1
0.425,1,0.544,2,0.09,1,0.563333333,2,0.13,1,0.2675,1,0.47,2
0.8475,2,0.126,1,0.715,2,0.22,1,0.255,1,0.015,1,0.1,1
0.96,2,0.248,1,0.385,2,0.436666667,2,0.15,1,0.2325,1,0.29,1
0.0575,1,0.62,2,0.13,1,0.236666667,2,0.46,2,0.2575,1,0.32,1
0.045,1,0.5,2,0.675,2,0.083333333,1,0.345,1,0.0775,1,0.54,1
0.1975,1,0.236,1,0.095,1,0.016666667,1,0.19,1,0.06,1,0.12,1
0.69,2,0.154,1,0.025,1,0.85,2,0.07,1,0.2125,2,0.27,1
0.7575,2,0.108,1,0.12,1,0.736666667,2,0.275,1,0.1525,1,0.1,1
0.76,2,0.248,1,0.175,1,0.073333333,1,0.025,1,0.075,1,0.12,1
0.075,1,0.052,1,0.2,1,0.35,1,0.16,1,0.1125,1,0.1,1
0.1175,1,0.21,1,0.045,1,0.276666667,1,0.655,1,0.7825,2,0.72,2
0.5975,2,0.382,1,0.03,1,0.703333333,2,0.29,1,0.305,2,0.05,1
0.6675,2,0.614,2,0.24,1,0.033333333,1,0.205,1,0.05,1,0.35,2
0.6875,1,0.166,1,0.325,1,0.04,1,0.345,1,0.4725,1,0.08,1
0.735,2,0.02,1,0.26,1,0.546666667,2,0.415,2,0.1525,1,0.07,1
0.11,1,0.21,1,0.23,1,0.026666667,1,0.425,2,0.11,1,0.15,1
0.47,2,0.254,1,0.11,1,0.22,1,0.12,1,0.2825,1,0.4,1
0.0975,1,0.33,1,0.11,1,0.056666667,1,0.16,1,0.6475,2,0.28,1
0.2325,1,0.602,1,0.3,1,0.02,1,0.01,1,0.385,2,0.51,2
0.045,1,0.27,2,0.29,1,0.063333333,1,0.275,1,0.28,1,0.05,1
0.71,2,0.064,1,0.235,1,0.386666667,1,0.52,1,0.165,1,0.52,2
0.015,1,0.136,1,0.175,1,0.406666667,2,0.03,1,0.4475,2,0.11,1
0.4125,2,0.166,1,0.505,2,0.053333333,1,0.135,1,0.03,1,0.27,1
0.14,1,0.022,1,0.08,1,0.113333333,1,0.215,1,0.045,1,0.21,1
0.7,2,0.04,1,0.33,1,0.086666667,1,0.405,1,0.0825,1,0.15,1
0.4575,1,0.084,1,0.66,2,0.656666667,2,0.11,1,0.12,1,0.57,2
0.725,2,0.498,2,0.075,1,0.136666667,1,0.515,2,0.2875,1,0.12,1
0.1075,1,0.046,1,0.575,2,0.513333333,1,0.285,1,0.405,2,0.72,2
0.025,1,0.156,1,0.17,1,0.116666667,1,0.17,1,0.075,1,0.1,1
0.115,1,0.744,2,0.205,1,0.073333333,1,0.125,1,0.18,1,0.02,1
0.69,2,0.608,2,0.335,1,0.263333333,1,0.34,1,0.3825,2,0.17,1
0.03,1,0.484,1,0.135,1,0.226666667,1,0.07,1,0.1975,1,0.58,1
0.6175,2,0.146,1,0.685,2,0.236666667,1,0.125,1,0.21,1,0.38,1
0.8475,2,0.076,1,0.43,2,0.17,1,0.195,1,0.51,2,0.48,2
0.01,1,0.346,1,0.335,2,0.68,2,0.09,1,0.245,1,0.08,1
0.7875,2,0.234,1,0.045,1,0.163333333,1,0.07,1,0.1475,1,0.22,1
0.06,1,0.076,1,0.61,2,0.383333333,2,0.32,1,0.5925,2,0.22,1
0.035,1,0.44,2,0.015,1,0.113333333,1,0.065,1,0.095,1,0.26,1
0.2225,1,0.066,1,0.465,2,0.05,1,0.155,1,0.47,1,0.07,1
0.435,1,0.49,1,0.395,2,0.276666667,1,0.37,1,0.2075,1,0.58,2
0.11,1,0.316,1,0.03,1,0.76,2,0.105,1,0.2,1,0.12,1
0.0775,1,0.1,2,0.215,1,0.043333333,1,0.06,1,0.195,1,0.4,2
0.245,1,0.536,2,0.29,1,0.613333333,2,0.3,2,0.3625,1,0.25,1
0.1275,1,0.284,1,0.03,1,0.633333333,2,0.015,1,0.2675,1,0.41,1
0.81,2,0.58,2,0.27,1,0.07,1,0.54,2,0.085,1,0.09,1
0.715,2,0.656,2,0.13,1,0.026666667,1,0.245,1,0.2425,1,0.52,2
0.5575,2,0.578,2,0.385,1,0.313333333,1,0.31,1,0.29,2,0.27,1
0.2175,2,0.094,1,0.205,1,0.25,1,0.015,1,0.2875,1,0.12,1
0.5925,2,0.306,1,0.06,1,0.033333333,1,0.185,1,0.04,1,0.62,2
0.28,1,0.512,2,0.27,1,0.093333333,1,0.625,2,0.1975,1,0.14,1
0.005,1,0.744,2,0.035,1,0.633333333,1,0.435,1,0.51,2,0.72,2
0.22,1,0.018,1,0.265,1,0.31,1,0.255,1,0.465,2,0.12,1
0.105,1,0.108,1,0.1,1,0.056666667,1,0.185,1,0.47,2,0.15,2
0.0125,1,0.094,1,0.455,2,0.023333333,1,0.29,1,0.275,2,0.3,2
0.1025,1,0.56,2,0.06,1,0.053333333,1,0.24,1,0.6225,2,0.12,1
0.005,1,0.064,1,0.625,2,0.496666667,2,0.32,2,0.42,1,0.38,2
0.4625,1,0.508,1,0.185,1,0.096666667,1,0.595,2,0.275,1,0.08,1
0.025,1,0.314,1,0.11,1,0.103333333,1,0.43,2,0.2775,1,0.34,2
0.0575,1,0.332,1,0.38,2,0.16,1,0.565,2,0.345,2,0.33,2
0.6975,2,0.254,1,0.095,1,0.793333333,2,0.495,2,0.63,2,0.18,1
0.0975,1,0.892,2,0.045,1,0.313333333,1,0.28,1,0.1875,1,0.17,1
0.0225,1,0.056,1,0.655,2,0.106666667,1,0.735,2,0.1325,1,0.3,1
0.6925,2,0.134,1,0.34,2,0.576666667,2,0.29,1,0.3825,1,0.04,1
0.74,2,0.074,1,0.12,1,0.2,2,0.445,2,0.055,1,0.14,1
0.8225,2,0.25,1,0.405,2,0.576666667,2,0.16,1,0.085,1,0.04,1
0.065,1,0.604,2,0.365,1,0.106666667,1,0.075,1,0.04,1,0.29,1
0.0175,1,0.812,2,0.35,1,0.136666667,1,0.035,1,0.0825,1,0.07,1
0.0125,1,0.148,2,0.045,1,0.38,2,0.7,2,0.3675,2,0.09,1
0.3225,2,0.432,1,0.295,1,0.113333333,1,0.235,1,0.07,1,0.51,2
0.47,1,0.088,1,0.415,1,0.183333333,1,0.195,1,0.4925,2,0.13,1
0.16,1,0.368,1,0.28,2,0.22,1,0.05,1,0.07,1,0.33,2
0.67,2,0.242,1,0.035,1,0.09,1,0.3,1,0.3575,1,0.07,1
0.0325,1,0.114,1,0.06,1,0.62,2,0.08,1,0.105,1,0.12,1
0.6025,2,0.04,1,0.35,1,0.426666667,1,0.37,1,0.0675,1,0.1,1
0.075,1,0.108,1,0.185,1,0.056666667,1,0.07,1,0.06,1,0.47,2
0.58,2,0.34,1,0.005,1,0.213333333,1,0.195,1,0.4175,2,0.61,2
0.4025,2,0.514,1,0.605,2,0.196666667,1,0.115,1,0.51,2,0.06,1
0.365,1,0.142,1,0.135,1,0.666666667,1,0.31,2,0.0975,1,0.17,1
0.62,2,0.52,2,0.775,2,0.75,2,0.165,2,0.2575,1,0.55,2
0.4625,1,0.138,1,0.03,1,0.033333333,1,0.185,1,0.0925,1,0.2,1
0.105,1,0.084,1,0.11,1,0.013333333,1,0.225,1,0.0225,1,0.13,1
0.0825,1,0.166,1,0.215,1,0.31,1,0.48,2,0.6,2,0.1,1
0.8,2,0.488,2,0.02,1,0.25,2,0.205,1,0.26,1,0.65,2
0.5375,1,0.068,1,0.01,1,0.7,2,0.145,1,0.035,1,0.2,1
