probext,labelext,probext,labelext,probext,labelext,probext,labelext,probext,labelext,probext,labelext,probext,labelext
0.605,2,0.722,2,0.615,2,0.706666667,2,0.545,2,0.6575,2,0.65,2
0.65,2,0.68,2,0.565,2,0.723333333,2,0.6,2,0.5825,2,0.62,2
0.7675,2,0.772,2,0.595,2,0.8,2,0.655,2,0.6675,2,0.79,2
0.3975,2,0.292,2,0.235,2,0.34,2,0.285,2,0.21,2,0.27,2
0.3075,2,0.256,2,0.59,2,0.276666667,2,0.485,2,0.415,2,0.39,2
0.345,2,0.186,2,0.44,2,0.243333333,2,0.355,2,0.2875,2,0.26,2
0.695,2,0.726,2,0.69,2,0.71,2,0.635,2,0.6825,2,0.61,2
0.6125,2,0.604,2,0.64,2,0.656666667,2,0.555,2,0.5575,2,0.54,2
0.6325,2,0.7,2,0.41,2,0.71,2,0.485,2,0.4925,2,0.52,2
0.6,2,0.608,2,0.395,2,0.59,2,0.435,2,0.4175,2,0.49,2
0.5625,2,0.492,2,0.69,2,0.583333333,2,0.68,2,0.5825,2,0.54,2
0.6175,2,0.696,2,0.64,2,0.62,2,0.52,2,0.5675,2,0.66,2
0.4575,2,0.25,2,0.505,2,0.383333333,2,0.39,2,0.4175,2,0.41,2
0.4875,2,0.536,2,0.7,2,0.52,2,0.56,2,0.5575,2,0.58,2
0.715,2,0.708,2,0.645,2,0.696666667,2,0.555,2,0.5875,2,0.66,2
0.6,2,0.558,2,0.675,2,0.643333333,2,0.63,2,0.5475,2,0.58,2
0.235,2,0.16,2,0.64,2,0.216666667,2,0.415,2,0.3775,2,0.37,2
0.805,2,0.564,2,0.67,2,0.763333333,2,0.61,2,0.54,2,0.65,2
0.685,2,0.668,2,0.34,2,0.67,2,0.455,2,0.4725,2,0.46,2
0.7575,2,0.712,2,0.61,2,0.696666667,2,0.635,2,0.56,2,0.55,2
0.7775,2,0.85,2,0.84,2,0.85,2,0.73,2,0.7875,2,0.69,2
0.825,2,0.9,2,0.6,2,0.886666667,2,0.59,2,0.68,2,0.74,2
0.595,2,0.624,2,0.385,2,0.663333333,2,0.435,2,0.4675,2,0.49,2
0.465,2,0.41,2,0.685,2,0.436666667,2,0.505,2,0.4475,2,0.42,2
0.6675,2,0.816,2,0.76,2,0.713333333,2,0.53,2,0.715,2,0.67,2
